Molecule,Manufacturer,Product,MIDAS Corporation,Corporation,ATC4,ATC3,ATC2,ATC1,Total Market,Market,Molecule Combination Type,Launch Year,Strength,Pack,Launch Date,Retail Price,NFC1,NFC2,NFC3,2022 LC Value,2022 Units,2023 LC Value,2023 Units,2024 LC Value,2024 Units,2025 LC Value,2025 Units,2026 LC Value,2026 Units
OLANZAPINE,ELI LILLY,ZYPREXA VELOTAB,LILLY,ELI LILLY,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,PRIVATE MARKET,MONO,1998.0,0010MG,TABS DISPERS 10 MG 28,199810,822.5,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAB ORAL DISINTEGRATING TABS,3401864.0,4136.0,3161692.0,3844.0,3381301.0,4111.0,1740413.0,2116.0,224543.0,273.0
OLAPARIB,ASTRAZENECA,LYNPARZA,ASTRAZENECA,ASTRAZENECA,L01L0 PARP INHIBITOR A-NEOPLAS,L01L PARP INHIBITOR A-NEOPLAS,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,LPO,MONO,2015.0,0050MG,CAPS 50 MG 448,201512,30321.5,A ORAL SOLID ORDINARY,AC ORAL S ORD CAPSULES,ACA ORAL S ORD CAPSULES,,,,,,,,,,
OLAPARIB,ASTRAZENECA,LYNPARZA,ASTRAZENECA,ASTRAZENECA,L01L0 PARP INHIBITOR A-NEOPLAS,L01L PARP INHIBITOR A-NEOPLAS,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,LPO,MONO,2019.0,0150MG,F.C. TABS 150 MG 56,201910,13939.5,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,9312244.0,634.0,12824342.0,920.0,11681303.0,838.0,9381285.0,673.0,376367.0,27.0
OLAPARIB,ASTRAZENECA,LYNPARZA,ASTRAZENECA,ASTRAZENECA,L01L0 PARP INHIBITOR A-NEOPLAS,L01L PARP INHIBITOR A-NEOPLAS,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,LPO,MONO,2020.0,0100MG,F.C. TABS 100 MG 56,202006,13929.5,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,2358250.0,158.0,2131214.0,153.0,2674467.0,192.0,3008774.0,216.0,2242650.0,161.0
OLAPARIB,ASTRAZENECA,LYNPARZA,ASTRAZENECA,ASTRAZENECA,L01L0 PARP INHIBITOR A-NEOPLAS,L01L PARP INHIBITOR A-NEOPLAS,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,PRIVATE MARKET,MONO,2019.0,0150MG,F.C. TABS 150 MG 56,201910,13939.5,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,12489675.0,854.0,14971025.0,1074.0,16615887.0,1192.0,17117710.0,1228.0,5227313.0,375.0
OLAPARIB,ASTRAZENECA,LYNPARZA,ASTRAZENECA,ASTRAZENECA,L01L0 PARP INHIBITOR A-NEOPLAS,L01L PARP INHIBITOR A-NEOPLAS,L01 ANTINEOPLASTICS,L0 ANTINEOPLAST+IMMUNOMODUL,TOTAL MARKET,PRIVATE MARKET,MONO,2020.0,0100MG,F.C. TABS 100 MG 56,202006,13929.5,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,219207.0,15.0,376097.0,27.0,306449.0,22.0,752195.0,54.0,250732.0,18.0
OLEA EUROPEA,BAYER CONSUMER,BEPANTHEN SNSDALY,BAYER,BAYER HEALTHCARE,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2018.0,0000,CREAM 1 150 G,201812,72.53,M TOPIC DERMATOL HAEMOR EXTERN,MT TOP EXT CREAMS,MTA TOP EXT CREAMS N O S,974588.0,13437.0,613603.0,8460.0,,,,,,
OLEA EUROPEA,BAYER CONSUMER,BEPANTHEN SNSDRM,BAYER,BAYER HEALTHCARE,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,LPO,COMBI,2018.0,0000,CREAM 1 50 G,201812,48.2,M TOPIC DERMATOL HAEMOR EXTERN,MT TOP EXT CREAMS,MTA TOP EXT CREAMS N O S,,,,,145.0,3.0,1350.0,28.0,,
OLEA EUROPEA,BAYER CONSUMER,BEPANTHEN SNSDRM,BAYER,BAYER HEALTHCARE,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2018.0,0000,CREAM 1 50 G,201812,48.2,M TOPIC DERMATOL HAEMOR EXTERN,MT TOP EXT CREAMS,MTA TOP EXT CREAMS N O S,1618317.0,33575.0,2157816.0,44768.0,1888091.0,39172.0,1485717.0,30824.0,925199.0,19195.0
OLEA EUROPEA,BELL,OLIVE OIL BL,MARKSANS PHARMA,BELL,V03X0 ALL OTH.THERAPEUTIC PRDS,V03X ALL OTH.THERAPEUTIC PRDS,V03 OTHER THERAPEUTIC PRODS,V0 VARIOUS,TOTAL MARKET,LPO,MONO,2001.0,0000,OIL 1 70 ML,200108,12.5,D ORAL LIQUID ORDINARY,DG ORAL L ORD LIQUIDS,DGH ORAL L ORD OILS,,,,,38.0,3.0,,,,
OLEA EUROPEA,BELL,OLIVE OIL BL,MARKSANS PHARMA,BELL,V03X0 ALL OTH.THERAPEUTIC PRDS,V03X ALL OTH.THERAPEUTIC PRDS,V03 OTHER THERAPEUTIC PRODS,V0 VARIOUS,TOTAL MARKET,PRIVATE MARKET,MONO,2001.0,0000,OIL 1 70 ML,200108,12.5,D ORAL LIQUID ORDINARY,DG ORAL L ORD LIQUIDS,DGH ORAL L ORD OILS,159028.0,12722.0,105391.0,8431.0,66841.0,5347.0,56702.0,4536.0,26201.0,2096.0
OLEA EUROPEA,DERMATONICS,DERMATONICS ONCE,DERMATONICS,DERMATONICS*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2017.0,0010%,HAND BALM 10 % 1 60 ML,201706,35.0,M TOPIC DERMATOL HAEMOR EXTERN,MS TOP EXT OINTMENTS,MSA TOP EXT OINTMENTS N O S,,,,,,,,,,
OLEA EUROPEA,FRESENIUS KABI,SMOF,FRESENIUS,FRESENIUS KABI*,K01D1 FAT EMULSIONS. PLAIN,K01D FAT EMULSIONS. INCL TPN,K01 INTRAVENOUS SOLUTIONS,K0 HOSPITAL SOLUTIONS,TOTAL MARKET,LPO,COMBI,2015.0,0020%,EMULSION 20 % 1 100 ML,201510,41.89,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQE PARENT ORD INFUSION BAGS,594001.0,14180.0,698725.0,16680.0,650553.0,15530.0,720089.0,17190.0,326323.0,7790.0
OLEA EUROPEA,FRESENIUS KABI,SMOF,FRESENIUS,FRESENIUS KABI*,K01D1 FAT EMULSIONS. PLAIN,K01D FAT EMULSIONS. INCL TPN,K01 INTRAVENOUS SOLUTIONS,K0 HOSPITAL SOLUTIONS,TOTAL MARKET,LPO,COMBI,2015.0,0020%,EMULSION 20 % 1 500 ML,201510,89.39,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQE PARENT ORD INFUSION BAGS,126935.0,1420.0,149282.0,1670.0,418347.0,4680.0,293199.0,3280.0,71512.0,800.0
OLEA EUROPEA,FRESENIUS KABI,SMOF,FRESENIUS,FRESENIUS KABI*,K01D1 FAT EMULSIONS. PLAIN,K01D FAT EMULSIONS. INCL TPN,K01 INTRAVENOUS SOLUTIONS,K0 HOSPITAL SOLUTIONS,TOTAL MARKET,LPO,COMBI,2018.0,0020%,EMULSION 20 % 1 250 ML,201808,55.87,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQE PARENT ORD INFUSION BAGS,75984.0,1360.0,116768.0,2090.0,130177.0,2330.0,106711.0,1910.0,4525.0,81.0
OLEA EUROPEA,FRESENIUS KABI,SMOF,FRESENIUS,FRESENIUS KABI*,K01D1 FAT EMULSIONS. PLAIN,K01D FAT EMULSIONS. INCL TPN,K01 INTRAVENOUS SOLUTIONS,K0 HOSPITAL SOLUTIONS,TOTAL MARKET,PRIVATE MARKET,COMBI,2015.0,0020%,EMULSION 20 % 1 100 ML,201510,41.89,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQE PARENT ORD INFUSION BAGS,542977.0,12962.0,391213.0,9339.0,374078.0,8930.0,543815.0,12982.0,115114.0,2748.0
OLEA EUROPEA,FRESENIUS KABI,SMOF,FRESENIUS,FRESENIUS KABI*,K01D1 FAT EMULSIONS. PLAIN,K01D FAT EMULSIONS. INCL TPN,K01 INTRAVENOUS SOLUTIONS,K0 HOSPITAL SOLUTIONS,TOTAL MARKET,PRIVATE MARKET,COMBI,2015.0,0020%,EMULSION 20 % 1 500 ML,201510,89.39,F PARENTERAL ORDINARY,FQ PARENT ORD INFUSIONS,FQE PARENT ORD INFUSION BAGS,309110.0,3458.0,124519.0,1393.0,179585.0,2009.0,69009.0,772.0,28694.0,321.0
